LocationAbbr,Percent_Obese,Heart_Disease_Rate_Per_100k,No_Veggies,Minimum_PhysActivity,Rural_PovertyRate,Urban_PovertyRate,Rural_FoodDesert,Urban_FoodDesert,Median_Income,Most_Obese_Gender,Most_Obese_Race,Most_Obese_Age,Most_Obese_Education,Most_Obese_Income,,,Categories,Correlation,Degree of Correlation
AK,30.5,282.14,18.9,21.7,12.98,9.88,41.74,48.34,87365,Female,Hispanic,45 - 54,Some college or technical school,"$35,000 - $49,999",,,Obesity vs Heart Disease,0.777245453,Highly Correlated
AL,36.08,444.98,20.72,31.5,17.63,22.05,20.04,44.61,59677,Female,Non-Hispanic Black,45 - 54,Less than high school,"Less than $15,000",,,Obesity vs No Veggies,0.265081375,Little Correlation
AR,37.39,435.92,20.66,31.19,16.75,21.36,24.11,40.35,56782,Female,American Indian/Alaska Native,35 - 44,Less than high school,"Less than $15,000",,,Obesity vs Min Physical Activity,0.745938334,Highly Correlated
AZ,31.38,280.68,21.45,24.09,18.62,16.31,44.77,40.25,67337,Female,American Indian/Alaska Native,45 - 54,Less than high school,"$15,000 - $24,999",,,Obesity vs Rural Poverty,0.439885823,Moderately Correlated
CA,26.19,288.5,22.59,22.38,14.23,14.56,20.08,31,86624,Female,Hispanic,45 - 54,Less than high school,"$25,000 - $34,999",,,Obesity vs Urban Poverty,0.700721579,Highly Correlated
CO,23.79,244.09,18.56,18.69,9.59,12.13,25.16,36.47,86585,Male,Hispanic,55 - 64,Less than high school,"Less than $15,000",,,No Veggies vs Rural Poverty,0.276939666,Little Correlation
CT,29.1,244.67,19.09,23.5,5.2,12.13,3.68,43.97,107289,Male,Non-Hispanic Black,45 - 54,Less than high school,"Less than $15,000",,,No Veggies vs Urban Poverty,0.30933901,Little Correlation
FL,27,272.88,20.33,26.5,14.47,15.41,18,38.58,66998,Female,Non-Hispanic Black,45 - 54,High school graduate,"$15,000 - $24,999",,,Min Physical Activity vs Rural Poverty,0.521601975,Moderately Correlated
GA,33.08,382.53,18.93,27.89,17.91,18.52,14.11,45.76,66025,Female,Hispanic,55 - 64,Less than high school,"$25,000 - $34,999",,,Min Physical Activity vs Urban Poverty,0.750480885,Highly Correlated
HI,25,280.85,21.62,24.39,12.53,9.23,18.46,43.92,88616,Male,Hawaiian/Pacific Islander,45 - 54,High school graduate,"$25,000 - $34,999",,,Obesity vs Rural Food Desert,-0.056184458,Little Correlation
IA,33.9,341,21.66,26.5,8.62,15.61,21.41,29.69,72564,Male,Non-Hispanic Black,45 - 54,Less than high school,"$15,000 - $24,999",,,Obesity vs Urban Food Desert,0.189813992,Little Correlation
ID,29.5,278.69,16.22,23.79,13.06,16.11,26.09,37.91,64191,Female,American Indian/Alaska Native,45 - 54,Less than high school,"Less than $15,000",,,No Veggies vs Rural Food Desert,0.165763754,Little Correlation
IL,31.6,339.59,20.42,25.59,10.56,15.83,20.83,36.49,79116,Female,2 or more races,55 - 64,Some college or technical school,"$25,000 - $34,999",,,No Veggies vs Urban Food Desert,0.008864759,Little Correlation
IN,35.28,346.28,20.59,30.88,10.11,19.3,11.04,44.07,66501,Female,Hispanic,55 - 64,Less than high school,"Less than $15,000",,,,,
KS,35.19,353.13,18.99,27.09,10.24,15.29,33.69,35.5,71547,Female,Non-Hispanic Black,55 - 64,Some college or technical school,"Less than $15,000",,,,,
KY,36.5,427.9,18.83,32.78,20.19,18.83,13.66,38.97,61556,Female,Non-Hispanic Black,45 - 54,Less than high school,"$25,000 - $34,999",,,,,
LA,35.9,437.38,25.06,31.88,18.68,22.58,21.55,40.75,60642,Female,2 or more races,45 - 54,Some college or technical school,"$50,000 - $74,999",,,,,
